i_category,i_class,i_brand,s_store_name,s_company_name,d_moy,sum_sales,avg_monthly_sales
Children,toddlers,exportiexporti #2,bar,Unknown,3,323461.06,566238.494166
Children,toddlers,exportiexporti #2,able,Unknown,4,322442.39,565032.450000
Shoes,athletic,edu packedu pack #2,eing,Unknown,3,315976.51,558357.048333
Children,toddlers,exportiexporti #2,eing,Unknown,4,323854.84,565837.630000
Women,fragrances,importoamalg #2,able,Unknown,4,320741.38,561897.422500
Music,country,importoscholar #2,able,Unknown,3,320241.37,561258.602500
Women,fragrances,importoamalg #2,bar,Unknown,6,322408.71,562442.703333
Music,country,importoscholar #2,cally,Unknown,2,277160.37,517084.373333
Children,toddlers,exportiexporti #2,bar,Unknown,4,326479.18,566238.494166
Music,country,importoscholar #2,bar,Unknown,6,318626.01,558189.272500
Shoes,athletic,edu packedu pack #2,bar,Unknown,3,322698.05,561700.945000
Women,fragrances,importoamalg #2,able,Unknown,3,322900.42,561897.422500
Children,toddlers,exportiexporti #2,eing,Unknown,6,326932.40,565837.630000
Women,fragrances,importoamalg #2,ese,Unknown,4,304111.66,542555.896666
Women,fragrances,importoamalg #2,eing,Unknown,6,324131.36,562368.475833
Music,country,importoscholar #2,eing,Unknown,6,324506.19,562418.141666
Shoes,athletic,edu packedu pack #2,bar,Unknown,6,324030.42,561700.945000
Children,toddlers,exportiexporti #2,bar,Unknown,7,328642.70,566238.494166
Music,country,importoscholar #2,bar,Unknown,4,320804.25,558189.272500
Women,fragrances,importoamalg #2,bar,Unknown,3,325234.75,562442.703333
Shoes,athletic,edu packedu pack #2,able,Unknown,3,324110.95,560889.637500
Shoes,athletic,edu packedu pack #2,ese,Unknown,2,303629.37,540236.894166
Women,fragrances,importoamalg #2,ese,Unknown,6,306056.97,542555.896666
Children,toddlers,exportiexporti #2,ese,Unknown,3,307126.09,542724.447500
Shoes,athletic,edu packedu pack #2,eing,Unknown,4,322909.29,558357.048333
Music,country,importoscholar #2,bar,Unknown,3,323007.31,558189.272500
Children,toddlers,exportiexporti #2,eing,Unknown,7,330694.69,565837.630000
Shoes,athletic,edu packedu pack #2,able,Unknown,5,326020.38,560889.637500
Music,country,importoscholar #2,eing,Unknown,7,327714.86,562418.141666
Women,fragrances,importoamalg #2,able,Unknown,7,328072.19,561897.422500
Shoes,athletic,edu packedu pack #2,eing,Unknown,6,324594.31,558357.048333
Women,fragrances,importoamalg #2,eing,Unknown,7,328639.70,562368.475833
Shoes,athletic,edu packedu pack #2,ese,Unknown,4,306560.45,540236.894166
Shoes,athletic,edu packedu pack #2,ese,Unknown,3,306815.90,540236.894166
Women,fragrances,importoamalg #2,bar,Unknown,7,329065.88,562442.703333
Shoes,athletic,edu packedu pack #2,bar,Unknown,7,328789.83,561700.945000
Women,fragrances,importoamalg #2,cally,Unknown,2,285343.21,517671.944166
Children,toddlers,exportiexporti #2,able,Unknown,5,332859.24,565032.450000
Music,country,importoscholar #2,ese,Unknown,3,309482.62,541589.160833
Shoes,athletic,edu packedu pack #2,able,Unknown,4,329342.04,560889.637500
Children,toddlers,exportiexporti #2,able,Unknown,7,333769.18,565032.450000
Shoes,athletic,edu packedu pack #2,cally,Unknown,2,286026.21,517040.726666
Children,toddlers,exportiexporti #2,bar,Unknown,5,335268.78,566238.494166
Music,country,importoscholar #2,eing,Unknown,5,331695.44,562418.141666
Women,fragrances,importoamalg #2,ese,Unknown,3,311893.36,542555.896666
Children,toddlers,exportiexporti #2,ese,Unknown,6,312136.19,542724.447500
Women,fragrances,importoamalg #2,bar,Unknown,5,332647.26,562442.703333
Music,country,importoscholar #2,bar,Unknown,5,328424.89,558189.272500
Music,country,importoscholar #2,ese,Unknown,7,311860.56,541589.160833
Shoes,athletic,edu packedu pack #2,ese,Unknown,6,310516.49,540236.894166
Music,country,importoscholar #2,bar,Unknown,7,328477.64,558189.272500
Children,toddlers,exportiexporti #2,cally,Unknown,4,291725.84,521104.847500
Music,country,importoscholar #2,able,Unknown,7,331940.50,561258.602500
Children,toddlers,exportiexporti #2,ese,Unknown,4,314180.08,542724.447500
Women,fragrances,importoamalg #2,able,Unknown,5,333354.59,561897.422500
Shoes,athletic,edu packedu pack #2,able,Unknown,7,333632.16,560889.637500
Women,fragrances,importoamalg #2,eing,Unknown,5,335679.72,562368.475833
Music,country,importoscholar #2,ese,Unknown,4,314928.11,541589.160833
Children,toddlers,exportiexporti #2,eing,Unknown,5,339633.51,565837.630000
Children,toddlers,exportiexporti #2,cally,Unknown,6,295073.98,521104.847500
Women,fragrances,importoamalg #2,eing,Unknown,4,336348.00,562368.475833
Shoes,athletic,edu packedu pack #2,bar,Unknown,5,335902.81,561700.945000
Shoes,athletic,edu packedu pack #2,ese,Unknown,5,314527.08,540236.894166
Shoes,athletic,edu packedu pack #2,eing,Unknown,5,333319.06,558357.048333
Music,country,importoscholar #2,cally,Unknown,6,292421.93,517084.373333
Music,country,importoscholar #2,cally,Unknown,3,292948.98,517084.373333
Music,country,importoscholar #2,ese,Unknown,6,317555.46,541589.160833
Shoes,athletic,edu packedu pack #2,eing,Unknown,7,334542.98,558357.048333
Children,toddlers,exportiexporti #2,ese,Unknown,7,319138.16,542724.447500
Music,country,importoscholar #2,able,Unknown,5,337740.08,561258.602500
Music,country,importoscholar #2,ese,Unknown,5,318254.31,541589.160833
