prev_year,year,i_brand_id,i_class_id,i_category_id,i_manufact_id,prev_yr_cnt,curr_yr_cnt,sales_cnt_diff,sales_amt_diff
1999,2000,4002001,2,4,235,222167,47866,-174301,-7824006.24
1999,2000,4003001,3,4,123,222690,48670,-174020,-7734597.369999999
1999,2000,4002001,2,4,428,222330,49135,-173195,-7493617.840000001
1999,2000,4001001,1,4,240,173280,900,-172380,-7514147.749999999
1999,2000,4002001,2,4,119,217543,45588,-171955,-7365218.930000001
1999,2000,4004001,4,4,154,311708,140520,-171188,-7278162.210000001
1999,2000,4004001,4,4,152,233721,85927,-147794,-6614843.510000001
1999,2000,4004001,4,4,178,281615,134963,-146652,-6075180.939999997
1999,2000,4003001,3,4,332,235153,92178,-142975,-5982908.5600000005
1999,2000,4004001,4,4,69,231492,88707,-142785,-6123353.610000001
1999,2000,4003001,3,4,322,325299,182699,-142600,-6286627.820000002
1999,2000,4002001,2,4,201,142871,1071,-141800,-6252299.150000001
1999,2000,4001001,1,4,312,142311,645,-141666,-6236053.85
1999,2000,4003001,3,4,10,185799,44538,-141261,-6217239.459999999
1999,2000,4003001,3,4,159,326280,185026,-141254,-6326140.750000002
1999,2000,4002001,2,4,480,228740,87544,-141196,-5947782.42
1999,2000,4002001,2,4,200,227703,86578,-141125,-6030989.020000001
1999,2000,4004001,4,4,74,141804,756,-141048,-6291163.500000001
1999,2000,4003001,3,4,263,184327,43510,-140817,-5903572.210000001
1999,2000,4004001,4,4,145,315986,175174,-140812,-6037530.0699999975
1999,2000,4003001,3,4,2,229012,88272,-140740,-6198026.629999999
1999,2000,4004001,4,4,276,182790,42172,-140618,-6041923.58
1999,2000,4004001,4,4,124,184414,43854,-140560,-5857345.84
1999,2000,4001001,1,4,649,141035,483,-140552,-6109610.709999999
1999,2000,4004001,4,4,270,231273,90914,-140359,-6242308.18
1999,2000,4001001,1,4,88,227524,87207,-140317,-6115027.219999999
1999,2000,4001001,1,4,119,140639,430,-140209,-6194840.28
1999,2000,4001001,1,4,92,184760,44592,-140168,-6078704.349999999
