cc_name,d_year,avg_monthly_sales,sum_sales,psum,nsum
Mid Atlantic_1,1999,135951.384166,71995.18,77935.09,75290.69
Mid Atlantic_2,1999,133664.366666,69726.59,77723.66,79594.02
North Midwest,1999,128289.573333,64373.68,75851.10,72965.14
Mid Atlantic,1999,132517.431666,68603.96,73461.65,77354.89
Mid Atlantic_2,1999,139758.085833,75869.55,83070.36,83315.75
North Midwest_2,1999,140297.804166,76420.07,83852.92,80207.26
Mid Atlantic,1999,132615.303333,68746.61,78444.48,76372.76
Pacific Northwest_1,1999,133820.315833,69954.08,81230.84,85079.13
NY Metro,1999,138458.655000,74598.03,85780.89,81318.52
NY Metro_2,1999,140934.135833,77179.57,80379.93,185745.29
Hawaii/Alaska,1999,130848.472500,67134.85,77596.79,73856.27
NY Metro_1,1999,130423.363333,66721.66,82889.98,75933.59
Hawaii/Alaska,1999,135515.477500,71865.33,79668.06,78231.58
North Midwest,1999,135253.845833,71610.79,78138.30,83536.89
Mid Atlantic_1,1999,129459.806666,65838.95,82172.71,72958.37
NY Metro_1,1999,133658.315000,70083.31,76199.47,77524.45
Mid Atlantic_1,1999,136139.839166,72590.01,78982.25,73929.72
Mid Atlantic,1999,130999.202500,67462.03,77828.31,75796.04
North Midwest_2,1999,133001.058333,69494.81,80893.37,76105.50
Mid Atlantic_1,1999,136157.473333,72664.55,69312.64,79693.72
Hawaii/Alaska_1,1999,139404.345000,75925.45,78176.49,84339.08
NY Metro,1999,133847.880833,70380.79,77107.60,79375.76
Mid Atlantic,1999,136434.250000,72975.11,70147.57,76477.27
North Midwest,1999,134109.760833,70663.18,80890.65,75067.99
California_1,1999,134140.331666,70705.78,78560.66,78033.21
California,1999,130148.870833,66720.87,77449.59,72545.59
Pacific Northwest,1999,137002.870833,73598.71,86330.74,81446.24
North Midwest,1999,129332.167500,65940.30,78025.86,73742.48
Mid Atlantic_2,1999,135180.195000,71789.72,84376.77,81201.90
Hawaii/Alaska_1,1999,136052.279166,72674.10,78088.79,84733.64
California_1,1999,130067.462500,66708.22,82008.51,77534.50
