s_store_name,i_item_desc,revenue,i_current_price,i_wholesale_cost,i_brand
able,A bit young police try evil levels; new quarters tel,2.90,6.24,3.80,exportimaxi #6
able,A bit young police try evil levels; new quarters tel,2.06,1.34,0.85,amalgexporti #1
able,"A bit young products shall not believe frequently before legal homes. Marks would not save sadly inexorably other books. Demanding, vague members afford by a cases. There other services accep",9.16,2.77,0.83,exportiimporto #1
able,"A bit young products shall not believe frequently before legal homes. Marks would not save sadly inexorably other books. Demanding, vague members afford by a cases. There other services accep",2.20,2.77,0.83,exportiimporto #1
able,A little ,4.16,0.94,1.21,univbrand #6
able,A little ,5.20,0.94,1.21,univbrand #6
able,A little academic police would manage perhaps. Concrete drivers shal,5.35,3.01,1.32,namelessunivamalg #7
able,A little academic police would manage perhaps. Concrete drivers shal,4.39,3.01,1.32,namelessunivamalg #7
able,"A little average flames ought to break old, unique men. Things select often red, economic others. Hands will lift sufficiently; german, proper sections worry perhaps for the po",6.15,1.79,1.32,edu packmaxi #5
able,"A little average flames ought to break old, unique men. Things select often red, economic others. Hands will lift sufficiently; german, proper sections worry perhaps for the po",0.36,1.79,1.32,edu packmaxi #5
able,A little busy women interrupt. However revolutionar,1.26,4.24,3.01,scholarnameless #9
able,A little busy women interrupt. However revolutionar,5.51,4.24,3.01,scholarnameless #9
able,"A little certain colours will ask detailed approaches. Centres form separately needs. Optimistic hours ensue very at a environments. Very black facts get then. Political, little boards work mo",2.80,0.50,0.21,edu packedu pack #1
able,"A little chosen interests get forward, personal schools; inside middle things can combat personal, new effects. Centres restrict only in a tests. Around democratic pupils will moderate at all with th",5.26,3.32,2.05,namelessmaxi #8
able,"A little chosen interests get forward, personal schools; inside middle things can combat personal, new effects. Centres restrict only in a tests. Around democratic pupils will moderate at all with th",0.44,3.32,2.05,namelessmaxi #8
able,"A little chosen interests get forward, personal schools; inside middle things can combat personal, new effects. Centres restrict only in a tests. Around democratic pupils will moderate at all with th",7.34,3.32,2.05,namelessmaxi #8
able,"A little different birds must not follow also free conditions. Circumstances get less relevant, perfect alternatives. Quick",1.14,0.32,0.14,exportiexporti #1
able,A little different fans can deal; strong nations ,4.55,4.04,62.52,namelessnameless #6
able,A little econ,2.17,9.58,6.32,amalgamalg #1
able,A little econ,2.76,9.58,6.32,amalgamalg #1
able,A little econ,1.41,9.58,6.32,amalgamalg #1
able,"A little english police deliver just special, medical practitioners. Too difficult members would turn carefully in a",1.53,8.40,6.55,amalgimporto #1
able,"A little english police deliver just special, medical practitioners. Too difficult members would turn carefully in a",0.66,8.40,6.55,amalgimporto #1
able,"A little general students would want most rather sufficient charges; now labour documents might review from a children; firms ought to interfere there anxious plants; elderly, in",9.21,0.72,0.51,edu packexporti #2
able,"A little general students would want most rather sufficient charges; now labour documents might review from a children; firms ought to interfere there anxious plants; elderly, in",8.26,0.72,0.51,edu packexporti #2
