i_product_name,i_brand,i_class,i_category,qoh
priantipriought,corpmaxi #10,,,441.68979591836734
priantipriought,,,,441.68979591836734
ationationationcally,exportibrand #8,kids,Home,441.7479674796748
ationationationcally,exportibrand #8,kids,,441.7479674796748
ationationationcally,exportibrand #8,,,441.7479674796748
ationationationcally,,,,441.7479674796748
n stoughtableprically,maxicorp #4,womens watch,Jewelry,442.1869918699187
n stoughtableprically,maxicorp #4,womens watch,,442.1869918699187
n stoughtableprically,maxicorp #4,,,442.1869918699187
n stoughtableprically,,,,442.1869918699187
