brand_id,brand,t_hour,t_minute,ext_price
4002002,importoedu pack #2,18,9,35178.68
1001002,amalgamalg #2,19,30,35069.57
2001002,amalgimporto #2,18,40,34859.55
5004002,edu packscholar #2,19,54,34716.88
1001002,amalgamalg #2,9,22,34660.57
1004002,edu packamalg #2,19,31,34630.44
3001002,amalgexporti #2,19,10,34584.11
5002002,importoscholar #2,9,54,34539.70
2003002,exportiimporto #2,17,45,34515.29
5004002,edu packscholar #2,9,53,34470.79
2001002,amalgimporto #2,19,3,34416.08
2003002,exportiimporto #2,19,20,34375.92
1001002,amalgamalg #2,19,29,34313.34
1001002,amalgamalg #2,17,48,34308.18
4003002,exportiedu pack #2,17,1,34293.15
5004002,edu packscholar #2,17,48,34263.24
2001002,amalgimporto #2,17,34,34210.54
1001002,amalgamalg #2,19,48,34172.26
3003002,exportiexporti #2,17,25,34171.50
4002002,importoedu pack #2,17,23,34139.57
3004002,edu packexporti #2,17,34,34113.95
5001002,amalgscholar #2,9,32,34104.51
2001002,amalgimporto #2,17,12,34052.48
1002002,importoamalg #2,17,59,34034.35
2004002,edu packimporto #2,17,53,33990.09
1002002,importoamalg #2,17,40,33892.77
4003002,exportiedu pack #2,18,58,33887.00
5002002,importoscholar #2,18,39,33865.82
5001002,amalgscholar #2,19,24,33836.86
2003002,exportiimporto #2,19,59,33782.78
2001002,amalgimporto #2,19,28,33653.83
2003002,exportiimporto #2,17,18,33592.95
4004002,edu packedu pack #2,17,42,33555.92
1004002,edu packamalg #2,18,44,33541.99
2001002,amalgimporto #2,17,50,33447.57
1004002,edu packamalg #2,19,28,33436.75
2004002,edu packimporto #2,17,12,33416.41
5001002,amalgscholar #2,17,22,33380.18
1002002,importoamalg #2,9,52,33367.88
1004002,edu packamalg #2,17,45,33354.60
3002002,importoexporti #2,9,5,33314.99
2003002,exportiimporto #2,8,59,33300.21
4004002,edu packedu pack #2,8,23,33297.49
3002002,importoexporti #2,18,47,33280.70
5002002,importoscholar #2,19,23,33257.38
1003002,exportiamalg #2,18,12,33226.37
4002002,importoedu pack #2,9,29,33225.42
4002002,importoedu pack #2,17,52,33215.43
4004002,edu packedu pack #2,17,51,33191.38
2003002,exportiimporto #2,17,27,33166.02
2003002,exportiimporto #2,9,10,33147.86
1003002,exportiamalg #2,9,54,33142.20
3002002,importoexporti #2,19,1,33074.86
3002002,importoexporti #2,9,59,33062.55
4001002,amalgedu pack #2,9,44,33053.79
2001002,amalgimporto #2,17,13,33028.89
1002002,importoamalg #2,17,14,32998.52
3002002,importoexporti #2,9,48,32966.61
3001002,amalgexporti #2,17,19,32931.31
4002002,importoedu pack #2,18,11,32912.50
2003002,exportiimporto #2,9,58,32902.79
3003002,exportiexporti #2,17,42,32890.75
5003002,exportischolar #2,19,25,32858.88
4004002,edu packedu pack #2,17,2,32822.65
4004002,edu packedu pack #2,17,32,32814.09
3003002,exportiexporti #2,19,41,32803.79
3004002,edu packexporti #2,18,38,32696.26
4002002,importoedu pack #2,19,25,32624.70
2002002,importoimporto #2,19,34,32622.66
1001002,amalgamalg #2,17,4,32590.98
5003002,exportischolar #2,19,18,32570.43
3002002,importoexporti #2,19,36,32565.63
5003002,exportischolar #2,9,22,32553.36
2001002,amalgimporto #2,17,52,32514.89
1002002,importoamalg #2,19,2,32476.89
3004002,edu packexporti #2,9,8,32454.54
2001002,amalgimporto #2,17,44,32418.32
3001002,amalgexporti #2,17,22,32400.95
2001002,amalgimporto #2,19,0,32392.46
3001002,amalgexporti #2,17,24,32305.00
1004002,edu packamalg #2,18,24,32301.10
1002002,importoamalg #2,17,25,32243.09
5001002,amalgscholar #2,17,48,32214.62
4002002,importoedu pack #2,19,14,32207.12
3002002,importoexporti #2,17,20,32197.10
1002002,importoamalg #2,9,41,32148.75
4002002,importoedu pack #2,9,47,32136.11
5003002,exportischolar #2,18,46,32133.03
9010008,univunivamalg #8,18,42,32050.41
3002002,importoexporti #2,19,44,32042.12
2001002,amalgimporto #2,19,40,32016.32
5001002,amalgscholar #2,19,22,31999.79
3002002,importoexporti #2,18,11,31996.12
5002002,importoscholar #2,17,32,31988.17
4002002,importoedu pack #2,17,17,31969.40
4002002,importoedu pack #2,18,32,31923.68
4004002,edu packedu pack #2,17,11,31913.80
3003002,exportiexporti #2,19,51,31867.67
2004002,edu packimporto #2,17,3,31864.10
2004002,edu packimporto #2,18,18,31842.58
2001002,amalgimporto #2,17,42,31816.29
1001002,amalgamalg #2,18,58,31795.66
1004002,edu packamalg #2,17,36,31765.63
3001002,amalgexporti #2,19,18,31758.30
3002002,importoexporti #2,9,19,31708.57
2004002,edu packimporto #2,18,14,31707.49
1004002,edu packamalg #2,18,32,31677.03
3002002,importoexporti #2,19,3,31642.13
1002002,importoamalg #2,17,54,31628.28
1002002,importoamalg #2,8,12,31617.11
2003002,exportiimporto #2,19,55,31600.31
5003002,exportischolar #2,17,39,31597.17
5001002,amalgscholar #2,19,16,31595.80
5001002,amalgscholar #2,18,20,31595.20
2001002,amalgimporto #2,17,18,31523.92
1004002,edu packamalg #2,18,50,31515.62
4002002,importoedu pack #2,18,53,31506.48
4002002,importoedu pack #2,18,30,31463.19
1004002,edu packamalg #2,19,22,31448.89
2003002,exportiimporto #2,19,9,31421.47
1001002,amalgamalg #2,17,58,31379.23
1003002,exportiamalg #2,17,27,31337.18
5001002,amalgscholar #2,17,13,31323.25
3003002,exportiexporti #2,17,37,31278.56
2001002,amalgimporto #2,18,6,31269.04
3002002,importoexporti #2,18,23,31267.84
4004002,edu packedu pack #2,18,46,31196.26
2003002,exportiimporto #2,18,30,31192.61
4004002,edu packedu pack #2,19,18,31171.56
4004002,edu packedu pack #2,9,43,31165.68
5001002,amalgscholar #2,17,7,31153.52
1001002,amalgamalg #2,18,13,31147.40
1001002,amalgamalg #2,9,21,31134.88
2004002,edu packimporto #2,19,16,31112.02
2004002,edu packimporto #2,18,4,31106.30
1003002,exportiamalg #2,9,1,31062.14
3003002,exportiexporti #2,18,44,31021.34
1004002,edu packamalg #2,17,20,30940.26
3001002,amalgexporti #2,8,26,30923.60
4002002,importoedu pack #2,9,34,30915.05
4002002,importoedu pack #2,17,57,30914.85
4004002,edu packedu pack #2,18,6,30908.06
4001002,amalgedu pack #2,18,51,30883.30
2001002,amalgimporto #2,9,36,30853.09
1003002,exportiamalg #2,17,50,30806.44
2003002,exportiimporto #2,19,43,30799.44
5004002,edu packscholar #2,17,59,30756.94
1004002,edu packamalg #2,19,13,30720.76
1002002,importoamalg #2,19,45,30718.42
1001002,amalgamalg #2,17,55,30685.82
1001002,amalgamalg #2,9,59,30683.71
2001002,amalgimporto #2,17,55,30679.60
1004002,edu packamalg #2,9,59,30674.00
4001002,amalgedu pack #2,17,11,30646.99
4002002,importoedu pack #2,17,30,30626.18
3002002,importoexporti #2,19,4,30623.02
4002002,importoedu pack #2,19,45,30610.13
1001002,amalgamalg #2,17,39,30586.47
2001002,amalgimporto #2,17,2,30556.86
2001002,amalgimporto #2,17,16,30553.27
1004002,edu packamalg #2,17,46,30524.27
3002002,importoexporti #2,17,57,30501.43
3002002,importoexporti #2,17,50,30492.94
2002002,importoimporto #2,17,39,30483.05
1004002,edu packamalg #2,18,15,30474.27
2001002,amalgimporto #2,18,11,30432.19
4002002,importoedu pack #2,17,10,30328.40
2001002,amalgimporto #2,19,13,30322.74
1001002,amalgamalg #2,17,7,30319.48
3002002,importoexporti #2,17,41,30315.13
2001002,amalgimporto #2,17,38,30298.98
2001002,amalgimporto #2,18,27,30295.36
1001002,amalgamalg #2,18,5,30292.38
2002002,importoimporto #2,7,30,30285.04
1003002,exportiamalg #2,17,23,30283.20
2004002,edu packimporto #2,18,6,30264.40
3002002,importoexporti #2,9,28,30261.65
3002002,importoexporti #2,19,27,30255.72
1001002,amalgamalg #2,6,46,30230.66
2001002,amalgimporto #2,7,47,30152.66
2003002,exportiimporto #2,17,14,30132.58
4002002,importoedu pack #2,17,3,30114.64
3002002,importoexporti #2,17,13,30100.13
5004002,edu packscholar #2,19,15,30081.19
1004002,edu packamalg #2,18,46,30075.61
1001002,amalgamalg #2,19,42,30074.87
3002002,importoexporti #2,17,10,30047.27
2004002,edu packimporto #2,9,24,29997.40
1001002,amalgamalg #2,17,14,29973.60
1001002,amalgamalg #2,19,39,29883.32
1001002,amalgamalg #2,18,11,29868.51
9007011,importoexporti #2,19,59,29832.72
1004002,edu packamalg #2,19,17,29822.98
4001002,amalgedu pack #2,18,46,29790.86
1001002,amalgamalg #2,9,18,29786.94
4004002,edu packedu pack #2,19,50,29773.76
5002002,importoscholar #2,17,27,29764.49
4001002,amalgedu pack #2,9,43,29759.84
3004002,edu packexporti #2,17,48,29749.73
1001002,amalgamalg #2,8,57,29736.80
2004002,edu packimporto #2,19,53,29732.93
5002002,importoscholar #2,17,22,29726.80
3003002,exportiexporti #2,18,19,29717.11
1003002,exportiamalg #2,9,45,29702.05
4001002,amalgedu pack #2,18,1,29693.63
2004002,edu packimporto #2,18,12,29675.22
4004002,edu packedu pack #2,19,30,29649.41
1004002,edu packamalg #2,18,27,29590.59
4004002,edu packedu pack #2,8,22,29516.29
1001002,amalgamalg #2,18,40,29503.42
1001002,amalgamalg #2,19,4,29494.12
1002002,importoamalg #2,18,10,29485.69
3003002,exportiexporti #2,17,44,29455.45
1004002,edu packamalg #2,17,24,29437.36
1003002,exportiamalg #2,9,55,29422.55
2001002,amalgimporto #2,19,47,29333.21
4004002,edu packedu pack #2,17,55,29300.92
5001002,amalgscholar #2,17,20,29295.23
4002002,importoedu pack #2,7,38,29257.42
2003002,exportiimporto #2,18,53,29253.76
5002002,importoscholar #2,18,47,29247.94
4001002,amalgedu pack #2,17,59,29228.63
1001002,amalgamalg #2,18,27,29222.19
4004002,edu packedu pack #2,18,3,29173.26
1004002,edu packamalg #2,18,40,29145.87
5002002,importoscholar #2,18,32,29140.34
1001002,amalgamalg #2,17,23,29135.48
5004002,edu packscholar #2,19,37,29127.67
3002002,importoexporti #2,19,5,29075.03
3004002,edu packexporti #2,17,32,29025.76
4003002,exportiedu pack #2,17,49,28994.70
2003002,exportiimporto #2,18,6,28974.10
3003002,exportiexporti #2,17,24,28920.53
2003002,exportiimporto #2,17,38,28912.65
1002002,importoamalg #2,17,29,28906.03
5001002,amalgscholar #2,19,11,28819.48
1001002,amalgamalg #2,19,55,28818.50
3001002,amalgexporti #2,9,56,28795.85
2001002,amalgimporto #2,7,26,28790.73
1002002,importoamalg #2,19,1,28750.58
2004002,edu packimporto #2,9,59,28744.88
4002002,importoedu pack #2,17,42,28699.63
1001002,amalgamalg #2,17,38,28687.46
3002002,importoexporti #2,18,24,28669.29
1002002,importoamalg #2,18,7,28659.70
1001002,amalgamalg #2,9,12,28657.34
4002002,importoedu pack #2,18,17,28641.60
4002002,importoedu pack #2,9,40,28627.76
1001002,amalgamalg #2,17,56,28610.38
5003002,exportischolar #2,18,32,28592.66
4004002,edu packedu pack #2,17,43,28581.39
1001002,amalgamalg #2,17,53,28569.15
1003002,exportiamalg #2,18,50,28560.36
2003002,exportiimporto #2,9,22,28544.12
1001002,amalgamalg #2,8,11,28536.94
3003002,exportiexporti #2,17,7,28533.87
1001002,amalgamalg #2,18,31,28510.18
5003002,exportischolar #2,18,51,28480.55
4001001,exportischolar #2,9,19,28453.90
5004002,edu packscholar #2,19,59,28443.71
2001002,amalgimporto #2,9,28,28437.19
1001002,amalgamalg #2,18,10,28423.80
3003002,exportiexporti #2,19,22,28416.03
1003002,exportiamalg #2,19,56,28400.64
2003002,exportiimporto #2,17,7,28383.54
1002002,importoamalg #2,6,31,28359.00
1004002,edu packamalg #2,8,13,28354.27
2002002,importoimporto #2,19,5,28318.18
4002002,importoedu pack #2,18,13,28286.72
2004002,edu packimporto #2,17,33,28286.01
4004002,edu packedu pack #2,19,43,28271.00
3001002,amalgexporti #2,8,23,28263.48
3001002,amalgexporti #2,17,41,28234.96
5001002,amalgscholar #2,18,54,28215.71
1001002,amalgamalg #2,9,32,28207.73
3002002,importoexporti #2,18,32,28206.20
2001002,amalgimporto #2,18,57,28169.71
1001002,amalgamalg #2,19,36,28151.69
8009010,maxinameless #10,17,39,28150.41
3002002,importoexporti #2,19,40,28149.37
1001002,amalgamalg #2,19,8,28148.95
1004002,edu packamalg #2,17,32,28142.81
2003002,exportiimporto #2,17,58,28127.43
3002002,importoexporti #2,17,56,28118.79
2004002,edu packimporto #2,18,2,28102.97
4003002,exportiedu pack #2,19,0,28100.73
5001002,amalgscholar #2,9,44,28023.68
1003002,exportiamalg #2,17,32,28004.28
1004002,edu packamalg #2,17,4,28001.93
1002002,importoamalg #2,17,16,27939.61
2003002,exportiimporto #2,17,25,27928.74
1001002,amalgamalg #2,17,47,27867.27
3004002,edu packexporti #2,17,53,27857.46
3002002,importoexporti #2,18,38,27855.00
2002002,importoimporto #2,19,38,27796.45
1001002,amalgamalg #2,18,49,27783.29
2003002,exportiimporto #2,8,2,27766.35
2003002,exportiimporto #2,17,5,27756.49
5003002,exportischolar #2,17,21,27749.95
4004002,edu packedu pack #2,17,44,27744.55
2001002,amalgimporto #2,9,7,27722.96
5001002,amalgscholar #2,17,36,27681.89
3002002,importoexporti #2,7,33,27669.46
2001002,amalgimporto #2,18,48,27608.53
3002002,importoexporti #2,19,52,27605.02
4004002,edu packedu pack #2,19,49,27600.74
4004002,edu packedu pack #2,19,27,27562.79
2001002,amalgimporto #2,19,48,27562.34
4002002,importoedu pack #2,17,39,27561.00
4001002,amalgedu pack #2,18,16,27548.10
1003002,exportiamalg #2,9,4,27539.56
3003002,exportiexporti #2,19,20,27528.34
2004002,edu packimporto #2,17,22,27521.08
1003002,exportiamalg #2,19,38,27513.52
4003002,exportiedu pack #2,17,21,27513.06
3001002,amalgexporti #2,17,20,27495.49
2003002,exportiimporto #2,8,12,27493.30
4002002,importoedu pack #2,18,58,27485.80
2003002,exportiimporto #2,17,55,27484.34
5004002,edu packscholar #2,17,47,27462.16
1001002,amalgamalg #2,17,19,27461.21
1002002,importoamalg #2,19,23,27456.92
1004002,edu packamalg #2,7,22,27430.26
1002002,importoamalg #2,19,52,27425.50
2003002,exportiimporto #2,18,47,27415.73
2003002,exportiimporto #2,17,32,27398.57
3001002,amalgexporti #2,18,46,27360.05
3003002,exportiexporti #2,19,36,27314.10
3002002,importoexporti #2,18,42,27311.28
1001002,amalgamalg #2,18,12,27305.87
3001002,amalgexporti #2,18,33,27273.71
2001002,amalgimporto #2,19,52,27267.49
1001002,amalgamalg #2,9,46,27262.69
2004002,edu packimporto #2,19,49,27221.19
3001002,amalgexporti #2,17,16,27198.95
2003002,exportiimporto #2,9,45,27194.50
1004002,edu packamalg #2,18,31,27192.91
4003002,exportiedu pack #2,17,31,27180.39
2004002,edu packimporto #2,17,26,27165.85
2004002,edu packimporto #2,17,25,27133.30
4004002,edu packedu pack #2,18,25,27104.68
2001002,amalgimporto #2,18,34,27094.19
5002002,importoscholar #2,17,4,27086.15
2001002,amalgimporto #2,17,36,27079.19
3003002,exportiexporti #2,18,17,27076.70
5001002,amalgscholar #2,18,21,27062.24
3002002,importoexporti #2,18,12,27048.43
5001002,amalgscholar #2,9,47,27035.55
4002002,importoedu pack #2,18,56,27033.24
6013002,exportibrand #2,19,13,27031.66
5003002,exportischolar #2,19,30,27007.34
4001002,amalgedu pack #2,19,4,26992.02
2003002,exportiimporto #2,18,59,26947.99
2004002,edu packimporto #2,9,19,26931.89
2001001,edu packexporti #2,18,53,26897.13
2004002,edu packimporto #2,17,27,26893.73
3003002,exportiexporti #2,17,1,26890.94
2001002,amalgimporto #2,18,52,26875.09
6004002,edu packcorp #2,18,53,26863.52
3003002,exportiexporti #2,18,10,26823.63
5002002,importoscholar #2,18,20,26820.35
3001002,amalgexporti #2,18,13,26786.46
2003002,exportiimporto #2,19,4,26763.18
2001002,amalgimporto #2,19,59,26760.45
3002002,importoexporti #2,18,36,26760.04
1001002,amalgamalg #2,18,38,26759.78
2001002,amalgimporto #2,19,34,26746.95
4002002,importoedu pack #2,9,37,26743.37
4002002,importoedu pack #2,18,49,26714.94
5003002,exportischolar #2,19,50,26710.61
3002002,importoexporti #2,9,2,26702.09
2004002,edu packimporto #2,19,20,26693.18
2003002,exportiimporto #2,18,37,26689.45
1004002,edu packamalg #2,9,46,26682.28
4004002,edu packedu pack #2,17,1,26677.20
2004002,edu packimporto #2,8,4,26644.16
1003002,exportiamalg #2,8,9,26625.84
2003002,exportiimporto #2,19,18,26625.45
5003002,exportischolar #2,19,44,26610.95
4001002,amalgedu pack #2,17,23,26574.61
3002002,importoexporti #2,8,40,26569.47
2001002,amalgimporto #2,18,1,26550.53
2004002,edu packimporto #2,19,23,26549.64
2003002,exportiimporto #2,9,42,26543.41
1004002,edu packamalg #2,9,6,26535.69
4002002,importoedu pack #2,17,53,26497.94
3001002,amalgexporti #2,9,54,26471.40
1003002,exportiamalg #2,18,19,26464.49
4001002,amalgedu pack #2,17,53,26450.99
2001002,amalgimporto #2,18,33,26448.35
1004002,edu packamalg #2,18,55,26439.14
2001002,amalgimporto #2,17,17,26427.45
5002002,importoscholar #2,17,6,26425.55
2001002,amalgimporto #2,17,7,26416.93
5001002,amalgscholar #2,8,15,26411.75
1002002,importoamalg #2,17,43,26402.51
4004002,edu packedu pack #2,19,56,26386.96
2001002,amalgimporto #2,19,15,26363.09
1001002,amalgamalg #2,9,39,26341.66
4003002,exportiedu pack #2,17,35,26333.18
5003002,exportischolar #2,17,16,26318.12
2003002,exportiimporto #2,19,40,26284.45
5001002,amalgscholar #2,17,27,26270.77
2002002,importoimporto #2,18,47,26269.64
1003002,exportiamalg #2,17,24,26237.94
1003002,exportiamalg #2,8,4,26201.16
3002002,importoexporti #2,19,50,26180.46
2004002,edu packimporto #2,17,44,26178.62
5003002,exportischolar #2,17,5,26178.08
5003002,exportischolar #2,18,9,26144.84
5001002,amalgscholar #2,18,59,26139.66
4004002,edu packedu pack #2,9,59,26132.73
3003002,exportiexporti #2,19,28,26114.25
2002002,importoimporto #2,17,20,26106.31
3002002,importoexporti #2,8,28,26099.21
5002002,importoscholar #2,18,8,26096.46
4001002,amalgedu pack #2,9,52,26089.64
1002002,importoamalg #2,17,9,26081.76
3003002,exportiexporti #2,18,15,26079.99
4003002,exportiedu pack #2,18,34,26077.00
2001002,amalgimporto #2,9,47,26042.72
2003002,exportiimporto #2,9,11,26041.74
5001002,amalgscholar #2,18,13,26022.86
1001002,amalgamalg #2,9,9,25996.45
1003002,exportiamalg #2,19,9,25995.25
2001002,amalgimporto #2,17,43,25991.45
2004002,edu packimporto #2,7,21,25990.52
4004002,edu packedu pack #2,19,15,25978.11
3002002,importoexporti #2,9,31,25968.76
5001002,amalgscholar #2,18,1,25967.92
3002002,importoexporti #2,17,58,25934.21
1002002,importoamalg #2,19,41,25930.34
1004002,edu packamalg #2,17,47,25921.98
1002002,importoamalg #2,7,48,25918.43
4001002,amalgedu pack #2,19,24,25912.50
3003002,exportiexporti #2,17,41,25875.98
2001002,amalgimporto #2,9,43,25856.36
3003002,exportiexporti #2,18,24,25854.88
2003002,exportiimporto #2,18,54,25845.67
1001002,amalgamalg #2,9,4,25844.98
7010004,univnameless #4,18,32,25831.10
3003002,exportiexporti #2,17,38,25826.05
2004002,edu packimporto #2,17,5,25816.12
5002002,importoscholar #2,17,12,25805.01
2003002,exportiimporto #2,9,19,25797.92
1003002,exportiamalg #2,19,48,25789.64
3003002,exportiexporti #2,19,5,25776.97
4004002,edu packedu pack #2,17,50,25716.68
1004002,edu packamalg #2,19,24,25714.50
4004002,edu packedu pack #2,19,59,25681.52
3004002,edu packexporti #2,19,4,25663.99
3002002,importoexporti #2,9,38,25658.23
5004002,edu packscholar #2,19,34,25657.20
3004002,edu packexporti #2,17,23,25621.83
4002002,importoedu pack #2,18,48,25602.31
1003002,exportiamalg #2,17,2,25602.28
1004002,edu packamalg #2,18,54,25599.49
4002002,importoedu pack #2,17,18,25570.16
2001002,amalgimporto #2,19,14,25532.71
4001002,amalgedu pack #2,18,27,25523.81
3002002,importoexporti #2,9,42,25521.71
1002002,importoamalg #2,6,28,25520.53
2001002,amalgimporto #2,18,55,25510.18
3001002,amalgexporti #2,19,27,25497.34
2003002,exportiimporto #2,17,39,25480.83
3002002,importoexporti #2,17,49,25462.65
4001002,amalgedu pack #2,9,59,25462.08
3004002,edu packexporti #2,18,49,25456.59
1001002,amalgamalg #2,19,11,25451.00
1001002,amalgamalg #2,9,1,25436.97
5001002,amalgscholar #2,18,9,25399.49
10004013,importoamalg #2,9,10,25393.00
2001002,amalgimporto #2,9,58,25380.79
1002002,importoamalg #2,17,10,25366.77
1002002,importoamalg #2,18,43,25356.54
3003002,exportiexporti #2,17,8,25352.11
5003002,exportischolar #2,7,0,25348.48
