ty_channel,ty_brand,ty_class,ty_category,ty_sales,ty_number_sales,ly_channel,ly_brand,ly_class,ly_category,ly_sales,ly_number_sales
store,6004006,4,6,5125328.57,1342,store,6004006,4,6,3613035.23,955
store,6004007,4,6,3440292.16,925,store,6004007,4,6,7242344.39,1926
store,6004008,4,6,4352733.81,1193,store,6004008,4,6,2736443.24,751
store,6005001,5,6,4104325.18,1099,store,6005001,5,6,8174835.85,2173
store,6005002,5,6,5735143.80,1527,store,6005002,5,6,4345398.32,1178
store,6005003,5,6,3456344.28,895,store,6005003,5,6,7211689.44,1925
store,6005004,5,6,3620528.12,981,store,6005004,5,6,2948014.71,777
store,6005005,5,6,3707224.56,1019,store,6005005,5,6,6455860.26,1747
store,6005006,5,6,4537216.61,1262,store,6005006,5,6,3902046.56,1060
store,6005007,5,6,3783950.60,1048,store,6005007,5,6,8274710.66,2210
store,6005008,5,6,4975491.37,1340,store,6005008,5,6,4445832.91,1187
store,6006001,6,6,4741055.31,1327,store,6006001,6,6,9072815.14,2457
store,6006002,6,6,5157938.57,1445,store,6006002,6,6,4082228.25,1119
store,6006003,6,6,4160580.94,1130,store,6006003,6,6,9168170.66,2425
store,6006004,6,6,4838341.23,1382,store,6006004,6,6,4049771.65,1063
store,6006005,6,6,3519338.19,952,store,6006005,6,6,6849401.46,1816
store,6006006,6,6,5523774.94,1518,store,6006006,6,6,4038125.66,1045
store,6006007,6,6,3772487.25,995,store,6006007,6,6,8390125.53,2266
store,6006008,6,6,4858496.12,1319,store,6006008,6,6,4698220.10,1244
store,6007001,7,6,4104388.44,1132,store,6007001,7,6,7333192.18,1975
store,6007002,7,6,5577003.03,1500,store,6007002,7,6,3903754.90,1027
store,6007003,7,6,4736703.29,1270,store,6007003,7,6,8729996.15,2386
store,6007004,7,6,4581157.85,1268,store,6007004,7,6,3754895.05,1006
store,6007005,7,6,4155097.12,1162,store,6007005,7,6,7408246.82,1991
store,6007006,7,6,5822091.43,1542,store,6007006,7,6,4514065.45,1187
store,6007007,7,6,4498352.03,1176,store,6007007,7,6,8785119.55,2448
store,6007008,7,6,5327913.80,1385,store,6007008,7,6,3744195.18,1012
store,6008001,8,6,3813052.91,998,store,6008001,8,6,7573015.81,2059
store,6008002,8,6,5213617.61,1458,store,6008002,8,6,4151065.48,1139
store,6008003,8,6,4602996.20,1259,store,6008003,8,6,8706346.02,2277
store,6008004,8,6,5669932.84,1588,store,6008004,8,6,4793260.49,1323
