channel,col_name,d_year,d_qoy,i_category,sales_cnt,sales_amt
catalog,cs_bill_addr_sk,1999,1,Sports,1031,1350124.72
catalog,cs_bill_addr_sk,1999,1,Women,1040,1368774.65
catalog,cs_bill_addr_sk,1999,2,null,31,49001.75
catalog,cs_bill_addr_sk,1999,2,Books,1014,1143798.96
catalog,cs_bill_addr_sk,1999,2,Children,1066,1425004.48
catalog,cs_bill_addr_sk,1999,2,Electronics,1004,1333848.32
catalog,cs_bill_addr_sk,1999,2,Home,1009,1277652.84
catalog,cs_bill_addr_sk,1999,2,Jewelry,1076,1414329.46
catalog,cs_bill_addr_sk,1999,2,Men,982,1430065.24
catalog,cs_bill_addr_sk,1999,2,Music,1091,1333837.34
catalog,cs_bill_addr_sk,1999,2,Shoes,999,1366893.99
catalog,cs_bill_addr_sk,1999,2,Sports,1058,1170069.70
catalog,cs_bill_addr_sk,1999,2,Women,1068,1292158.18
catalog,cs_bill_addr_sk,1999,3,null,57,102921.78
catalog,cs_bill_addr_sk,1999,3,Books,1945,2402992.12
catalog,cs_bill_addr_sk,1999,3,Children,1930,2558534.37
catalog,cs_bill_addr_sk,1999,3,Electronics,1981,2534732.10
catalog,cs_bill_addr_sk,1999,3,Home,1850,2344418.45
catalog,cs_bill_addr_sk,1999,3,Jewelry,1932,2566796.51
catalog,cs_bill_addr_sk,1999,3,Men,1887,2532224.53
catalog,cs_bill_addr_sk,1999,3,Music,1975,2531739.59
catalog,cs_bill_addr_sk,1999,3,Shoes,1847,2173373.54
catalog,cs_bill_addr_sk,1999,3,Sports,1984,2639190.46
catalog,cs_bill_addr_sk,1999,3,Women,1972,2597896.24
catalog,cs_bill_addr_sk,1999,4,null,86,120862.62
catalog,cs_bill_addr_sk,1999,4,Books,3137,3908444.04
catalog,cs_bill_addr_sk,1999,4,Children,3181,3941861.26
catalog,cs_bill_addr_sk,1999,4,Electronics,3123,4069990.63
catalog,cs_bill_addr_sk,1999,4,Home,3033,3981602.81
catalog,cs_bill_addr_sk,1999,4,Jewelry,3089,3941880.74
catalog,cs_bill_addr_sk,1999,4,Men,3063,3996899.49
catalog,cs_bill_addr_sk,1999,4,Music,3170,4009764.51
catalog,cs_bill_addr_sk,1999,4,Shoes,3134,3907658.30
catalog,cs_bill_addr_sk,1999,4,Sports,3197,4035484.93
catalog,cs_bill_addr_sk,1999,4,Women,3165,3943532.77
catalog,cs_bill_addr_sk,2000,1,null,27,32824.49
catalog,cs_bill_addr_sk,2000,1,Books,1002,1358091.56
catalog,cs_bill_addr_sk,2000,1,Children,1085,1348653.92
catalog,cs_bill_addr_sk,2000,1,Electronics,1068,1232625.34
catalog,cs_bill_addr_sk,2000,1,Home,1003,1234320.31
catalog,cs_bill_addr_sk,2000,1,Jewelry,1037,1311142.90
catalog,cs_bill_addr_sk,2000,1,Men,1042,1374300.67
catalog,cs_bill_addr_sk,2000,1,Music,1029,1345164.98
catalog,cs_bill_addr_sk,2000,1,Shoes,984,1281535.34
catalog,cs_bill_addr_sk,2000,1,Sports,1067,1332061.41
catalog,cs_bill_addr_sk,2000,1,Women,1034,1232075.63
catalog,cs_bill_addr_sk,2000,2,null,22,23178.35
