i_item_id,s_state,g_state,agg1,agg2,agg3,agg4
AAAAAAAAAAAGBAAA,GA,0,28.0,141.500000,0.000000,123.100000
AAAAAAAAAAAGBAAA,MO,0,36.0,9.270000,0.000000,4.720000
AAAAAAAAAAAGCAAA,null,1,53.666666666666664,60.960000,0.000000,40.883333
AAAAAAAAAAAGCAAA,GA,0,19.0,1.870000,0.000000,1.100000
AAAAAAAAAAAGCAAA,MI,0,85.0,100.660000,0.000000,100.660000
AAAAAAAAAAAGCAAA,SD,0,57.0,80.350000,0.000000,20.890000
AAAAAAAAAAAHAAAA,null,1,48.75,90.660000,0.000000,47.225000
AAAAAAAAAAAHAAAA,GA,0,38.0,117.890000,0.000000,97.840000
AAAAAAAAAAAHAAAA,OH,0,45.0,79.770000,0.000000,42.270000
AAAAAAAAAAAHAAAA,SC,0,56.0,82.490000,0.000000,24.395000
AAAAAAAAAAAHBAAA,null,1,62.0,117.604000,762.984000,80.104000
AAAAAAAAAAAHBAAA,MI,0,70.0,103.190000,2641.520000,54.690000
AAAAAAAAAAAHBAAA,OH,0,84.0,57.880000,0.000000,42.830000
AAAAAAAAAAAHBAAA,SC,0,35.5,132.775000,586.700000,94.205000
AAAAAAAAAAAHBAAA,SD,0,85.0,161.400000,0.000000,114.590000
AAAAAAAAAAAIAAAA,null,1,43.42857142857143,78.238333,526.641429,25.628333
AAAAAAAAAAAIAAAA,MI,0,100.0,44.520000,3603.600000,40.950000
AAAAAAAAAAAIAAAA,OH,0,42.75,89.063333,20.722500,32.770000
AAAAAAAAAAAIAAAA,SC,0,16.5,78.860000,0.000000,7.255000
AAAAAAAAAAAICAAA,null,1,40.0,48.366000,1.574000,19.542000
AAAAAAAAAAAICAAA,MI,0,89.0,21.660000,0.000000,11.260000
AAAAAAAAAAAICAAA,MO,0,24.0,64.760000,3.935000,18.660000
AAAAAAAAAAAICAAA,SD,0,31.5,45.325000,0.000000,24.565000
AAAAAAAAAAAJBAAA,null,1,78.0,73.214000,51.484000,29.462000
AAAAAAAAAAAJBAAA,MI,0,78.0,107.620000,0.000000,52.730000
AAAAAAAAAAAJBAAA,MO,0,78.5,53.350000,0.000000,21.870000
AAAAAAAAAAAJBAAA,SC,0,89.0,54.370000,257.420000,20.660000
AAAAAAAAAAAJBAAA,SD,0,66.0,97.380000,0.000000,30.180000
AAAAAAAAAAAJCAAA,null,1,49.42857142857143,88.870000,45.602857,35.350000
AAAAAAAAAAAJCAAA,MI,0,50.0,94.375000,0.000000,39.660000
AAAAAAAAAAAJCAAA,MO,0,65.0,159.460000,319.220000,17.540000
AAAAAAAAAAAJCAAA,SC,0,59.0,73.510000,0.000000,37.750000
AAAAAAAAAAAJCAAA,SD,0,4.0,53.350000,0.000000,37.340000
AAAAAAAAAAAKAAAA,null,1,51.166666666666664,41.895000,34.623333,29.705000
AAAAAAAAAAAKAAAA,GA,0,31.0,80.400000,0.000000,44.220000
AAAAAAAAAAAKAAAA,MI,0,50.0,7.970000,0.000000,4.380000
AAAAAAAAAAAKAAAA,OH,0,56.5,40.750000,51.935000,32.407500
AAAAAAAAAAAKBAAA,null,1,58.0,70.685000,2866.010000,65.597500
AAAAAAAAAAAKBAAA,GA,0,36.0,50.040000,0.000000,38.030000
AAAAAAAAAAAKBAAA,OH,0,52.0,140.420000,6867.090000,139.010000
AAAAAAAAAAAKBAAA,SC,0,69.0,82.250000,4596.950000,82.250000
AAAAAAAAAAAKBAAA,SD,0,75.0,10.030000,0.000000,3.100000
AAAAAAAAAAALAAAA,null,1,81.0,89.430000,0.000000,55.502500
AAAAAAAAAAALAAAA,OH,0,70.5,109.155000,0.000000,95.800000
AAAAAAAAAAALAAAA,SD,0,91.5,69.705000,0.000000,15.205000
AAAAAAAAAAALCAAA,null,1,38.375,58.241250,43.166250,41.428750
AAAAAAAAAAALCAAA,MI,0,26.5,24.540000,86.332500,21.405000
AAAAAAAAAAALCAAA,MO,0,43.0,105.710000,0.000000,103.590000
AAAAAAAAAAALCAAA,OH,0,47.0,102.760000,0.000000,102.760000
AAAAAAAAAAALCAAA,SC,0,55.5,79.650000,0.000000,19.730000
AAAAAAAAAAAMBAAA,null,1,37.5,90.077500,406.760000,57.672500
AAAAAAAAAAAMBAAA,SC,0,11.0,67.680000,0.000000,65.640000
AAAAAAAAAAAMBAAA,SD,0,46.333333333333336,97.543333,542.346667,55.016667
AAAAAAAAAAAMCAAA,null,1,46.6,88.238000,307.444000,46.050000
AAAAAAAAAAAMCAAA,MI,0,59.0,64.370000,768.610000,44.855000
