product_name,store_name,store_zip,b_street_number,b_street_name,b_city,b_zip,c_street_number,c_street_name,c_city,c_zip,syear,cnt,s11,s21,s31,s12,s22,s32,syear,cnt
ationn stcallyableese,able,49431,301,Adams Lee,Edgewood,30069,148,Lee Forest,Georgetown,37057,2001,1,28.24,44.90,0.00,3.65,6.09,0.00,2002,1
ationn stcallyableese,able,49431,889,Sixth ,Stringtown,60162,649,Valley ,Forest Hills,59237,2001,1,56.69,81.06,0.00,3.65,6.09,0.00,2002,1
ationn stcallyableese,anti,35281,27,Miller 8th,Unionville,31711,581,North Lakeview,Springfield,29303,2001,1,4.45,8.90,0.00,24.68,28.87,0.00,2002,1
ationn stcallyableese,cally,46098,952,10th Smith,Concord,64107,212,Miller Willow,Howell,24854,2001,1,54.66,65.59,0.00,61.80,119.27,2355.10,2002,1
ationn stcallyableese,eing,68828,682,Ninth ,Wilson,26971,978,8th East,Shady Grove,92812,2001,1,13.96,17.45,0.00,15.95,27.91,0.00,2002,1
ationn stcallyableese,eing,68828,828,Main ,Bunker Hill,50150,244,1st ,Spring Hill,86787,2001,1,91.60,117.24,0.00,15.95,27.91,0.00,2002,1
ationn stcallyableese,ese,33451,785,Sunset Davis,Mount Pleasant,31933,408,Park 10th,Pleasant Hill,63604,2001,1,76.04,123.94,0.00,47.66,61.00,0.00,2002,1
ationoughtprieingableought,able,44136,677,Cedar Willow,Woodland,64854,64,Third Central,Adams,40986,2001,1,29.11,54.72,0.00,46.61,85.76,0.00,2002,1
ationoughtprieingableought,anti,35709,271,Fourteenth Sycamore,Crossroads,50534,848,Dogwood 12th,Brownsville,19310,2001,1,51.68,97.67,0.00,37.74,56.61,0.00,2002,1
ationoughtprieingableought,anti,35709,953,Elm ,Oakland,49843,741,Johnson Park,Harmony,25804,2001,1,95.65,104.25,0.00,37.74,56.61,0.00,2002,1
ationoughtprieingableought,bar,41904,532,Cedar Jackson,Shiloh,09875,213,North ,Highland Park,66534,2001,1,1.69,2.73,0.00,13.50,19.84,0.00,2002,1
ationoughtprieingableought,bar,29843,753,Sixth College,Jones,62686,398,1st 4th,Mount Zion,38054,2001,1,32.01,56.33,0.00,77.48,106.92,259.40,2002,1
ationoughtprieingableought,cally,78048,357,11th Fourth,Providence,36614,888,Main Fifth,Pleasant Valley,72477,2001,1,13.87,19.14,0.00,49.80,67.72,668.20,2002,1
ationoughtprieingableought,eing,68828,498,Third ,Ashland,64244,926,Lincoln Ninth,Woodlawn,24098,2001,1,30.21,41.08,0.00,91.82,102.83,0.00,2002,1
ationoughtprieingableought,eing,48370,399,Lee Valley,Hillcrest,73003,148,Chestnut Railroad,Valley View,25124,2001,1,71.51,122.28,0.00,96.04,155.58,0.00,2002,1
ationoughtprieingableought,ese,56098,140,Maple Valley,New Hope,89431,408,Central West,Highland Park,07134,2001,1,35.28,59.27,48.88,25.22,25.72,0.00,2002,1
ationoughtprieingableought,ese,45281,776,Pine 4th,Florence,63394,209,North ,Acme,30164,2001,1,49.34,54.27,0.00,56.62,64.54,0.00,2002,1
ationoughtprieingableought,n st,29843,371,Miller North,Pleasant Valley,12477,224,null,Jackson,69583,2001,1,48.18,72.75,1484.97,27.77,43.87,0.00,2002,1
ationpripribarbarable,able,78370,83,4th Sycamore,Spring Valley,26060,237,Pine ,Shiloh,29275,2001,1,6.34,10.14,200.97,23.13,34.23,0.00,2002,1
ationpripribarbarable,ation,63451,389,7th Park,Macedonia,41087,726,Spring ,Hopewell,90587,2001,1,74.03,94.01,0.00,23.26,41.40,0.00,2002,1
ationpripribarbarable,ation,63451,389,7th Park,Macedonia,41087,726,Spring ,Hopewell,90587,2001,1,74.03,94.01,0.00,76.03,111.76,0.00,2002,1
ationpripribarbarable,ation,45281,245,Center ,Lakeview,38579,646,Meadow ,Farmington,69145,2001,1,84.10,105.12,0.00,47.23,53.84,432.75,2002,1
ationpripribarbarable,bar,33604,276,Walnut Johnson,Oakwood,70169,125,Chestnut ,Highland Park,36534,2001,1,9.64,19.08,0.00,16.41,30.68,0.00,2002,1
ationpripribarbarable,bar,75709,264,Woodland ,Salem,58048,863,Maple Hillcrest,Lincoln,61289,2001,1,54.17,81.79,0.00,15.79,17.05,0.00,2002,1
ationpripribarbarable,bar,33604,887,Main ,Lakeview,88579,531,Johnson ,Shady Grove,52812,2001,1,56.64,102.51,268.85,16.41,30.68,0.00,2002,1
ationpripribarbarable,cally,69431,100,Church 2nd,Woodlawn,64098,897,6th ,Florence,53394,2001,1,18.31,22.15,0.00,20.68,37.43,0.00,2002,1
ationpripribarbarable,cally,78370,776,North ,Walnut Grove,67752,873,Central Pine,Greenville,41387,2001,1,47.90,65.62,0.00,9.44,10.95,0.00,2002,1
ationpripribarbarable,cally,78370,776,North ,Walnut Grove,67752,873,Central Pine,Greenville,41387,2001,1,47.90,65.62,0.00,52.53,61.98,0.00,2002,1
ationpripribarbarable,eing,52812,702,Dogwood North,Summerfield,40634,169,First Lincoln,Mount Zion,98054,2001,1,1.64,1.90,0.00,68.86,105.35,0.00,2002,1
ationpripribarbarable,eing,32812,692,Jackson ,New Hope,59431,895,Oak ,Clinton,38222,2001,1,68.60,117.99,0.00,13.01,25.10,0.00,2002,1
ationpripribarbarable,eing,32812,692,Jackson ,New Hope,59431,895,Oak ,Clinton,38222,2001,1,68.60,117.99,0.00,14.93,22.84,0.00,2002,1
n stanticallybarcallyought,able,45709,763,5th 1st,New Hope,59431,649,View Broadway,Jamestown,96867,2001,1,18.27,31.24,259.79,31.47,52.24,0.00,2002,1
n stanticallybarcallyought,able,45709,623,Walnut ,Woodlawn,04698,886,Park Main,Liberty,63451,2001,1,64.60,84.62,0.00,31.47,52.24,0.00,2002,1
n stanticallybarcallyought,ation,35709,165,Maple ,Lakeview,68579,335,Third Franklin,Clifton,68014,2001,1,24.61,24.61,0.00,79.82,110.15,0.00,2002,1
n stanticallybarcallyought,bar,78721,945,Park 3rd,Siloam,78948,307,4th ,Jackson,39583,2001,1,13.63,13.90,218.78,67.56,95.93,0.00,2002,1
n stanticallybarcallyought,cally,58828,476,Second Lincoln,Hopewell,90587,65,Maple ,Arlington,46557,2001,1,2.23,3.88,0.00,47.46,74.98,0.00,2002,1
n stanticallybarcallyought,cally,29843,899,5th Oak,Shiloh,79275,716,Miller Highland,Greenwood,38828,2001,1,17.61,26.59,495.18,42.68,55.48,0.00,2002,1
n stanticallybarcallyought,cally,34136,926,Oak Railroad,Wildwood,66871,521,Chestnut ,Ferguson,21821,2001,1,24.17,38.18,0.00,15.99,30.70,0.00,2002,1
n stanticallybarcallyought,cally,33451,996,Central 1st,Tracy,76340,382,2nd Meadow,Royal,25819,2001,1,93.74,162.17,1011.43,69.40,134.63,0.00,2002,1
n stanticallybarcallyought,eing,21933,600,Seventh ,Elkton,73481,961,Fifth ,Five Forks,52293,2001,1,55.86,59.77,0.00,81.60,142.80,3483.11,2002,1
n stanticallybarcallyought,ese,28828,351,Maple Main,Mount Olive,48059,634,Woodland Ash,Mount Vernon,68482,2001,1,96.01,119.05,0.00,66.13,132.26,0.00,2002,1
n stanticallybarcallyought,n st,31933,934,Lake Spruce,Georgetown,97057,299,Adams ,Highland Park,86534,2001,1,77.94,101.32,0.00,59.88,95.80,0.00,2002,1
n stanticallybarcallyought,n st,73451,94,5th ,Five Points,46098,225,Washington Lee,Forest Hills,59237,2001,1,79.49,84.25,0.00,19.30,36.28,260.71,2002,1
n stantieingantin st,able,30059,727,Valley ,Arlington,36557,210,Second West,Kingston,74975,2001,1,4.37,5.72,228.34,92.14,142.81,0.00,2002,1
n stantieingantin st,able,58828,404,Park Elm,Oakwood,40169,500,Birch Madison,Union,58721,2001,1,34.49,48.97,641.13,15.43,15.89,0.00,2002,1
n stantieingantin st,able,58828,404,Park Elm,Oakwood,40169,500,Birch Madison,Union,58721,2001,1,34.49,48.97,641.13,27.49,47.55,3849.12,2002,1
n stantieingantin st,able,49431,282,Laurel Cherry,Harmony,75804,321,West 11th,Riverview,89003,2001,1,55.33,65.84,0.00,29.92,39.19,0.00,2002,1
n stantieingantin st,able,38721,384,North Cedar,Waterloo,31675,488,Pine ,Midway,81904,2001,1,89.21,145.41,0.00,4.10,7.01,0.00,2002,1
n stantieingantin st,able,44136,555,Highland Lakeview,Harmony,25804,560,Walnut View,Ridgeville,39306,2001,1,91.35,135.19,0.00,48.61,51.52,0.00,2002,1
n stantieingantin st,anti,44136,462,10th ,Friendship,24536,272,View ,Walnut Grove,87752,2001,1,11.39,13.09,0.00,56.90,96.73,0.00,2002,1
n stantieingantin st,bar,75709,266,Hill Johnson,Plainview,73683,785,4th 2nd,Shiloh,79275,2001,1,15.07,29.38,0.00,3.31,4.13,0.00,2002,1
n stantieingantin st,bar,75709,266,Hill Johnson,Plainview,73683,785,4th 2nd,Shiloh,79275,2001,1,15.07,29.38,0.00,32.39,41.45,0.00,2002,1
n stantieingantin st,cally,46098,71,Ridge ,Oak Ridge,18371,471,10th ,Glendale,73951,2001,1,29.56,35.76,0.00,17.06,34.12,0.00,2002,1
n stantieingantin st,eing,32812,903,Wilson ,White Oak,86668,334,Willow Franklin,Fairfield,36192,2001,1,81.64,118.37,0.00,9.30,15.43,0.00,2002,1
n stantieingantin st,ese,35281,106,Main Green,Summit,30499,110,Hillcrest Jefferson,Springdale,88883,2001,1,38.32,47.90,0.00,6.93,7.96,0.00,2002,1
n stantieingantin st,ese,35281,807,2nd ,Kingston,74975,708,1st 2nd,Woodland,74854,2001,1,95.46,132.68,4323.41,6.93,7.96,0.00,2002,1
n stbaresebareseought,anti,32812,237,5th ,Green Acres,47683,817,View ,Pine Grove,64593,2001,1,39.18,68.95,0.00,33.71,63.03,0.00,2002,1
n stbaresebareseought,bar,53451,648,Davis ,Greenwood,78828,564,Cedar ,Stratford,26668,2001,1,12.70,13.33,0.00,56.29,88.93,0.00,2002,1
n stbaresebareseought,bar,44136,917,River ,Perkins,51852,907,Sunset South,Summit,60499,2001,1,15.65,24.41,0.00,18.83,25.23,0.00,2002,1
n stbaresebareseought,ese,28048,404,View ,Red Hill,74338,340,5th Hickory,Buena Vista,45752,2001,1,14.82,18.96,0.00,30.99,34.08,0.00,2002,1
n stbaresebareseought,ese,28048,795,null,Valley View,45124,928,Broadway ,Friendship,94536,2001,1,96.98,178.44,0.00,30.99,34.08,0.00,2002,1
n stbaresebareseought,n st,68048,589,Walnut Oak,Union Hill,57746,709,Center 6th,Silver Springs,64843,2001,1,62.58,113.26,0.00,7.11,13.22,0.00,2002,1
n stbaresebareseought,ought,34136,865,4th ,Unionville,81711,543,Walnut East,New Hope,89431,2001,1,60.58,108.43,0.00,51.33,66.21,0.00,2002,1
n stbaroughtablepriought,ation,62812,932,Forest ,Highland Park,66534,267,Meadow ,Woodland,84854,2001,1,83.92,137.62,0.00,75.91,100.96,0.00,2002,1
n stbaroughtablepriought,bar,29843,166,Cedar ,Woodville,34289,950,8th ,Lakeside,49532,2001,1,21.20,29.68,0.00,1.90,3.11,0.00,2002,1
n stbaroughtablepriought,bar,33604,695,Second ,Ashland,24244,178,Hickory East,Oak Hill,08438,2001,1,70.85,116.19,0.00,59.44,99.85,161.44,2002,1
n stbaroughtablepriought,cally,58828,505,Poplar ,Mount Pleasant,31933,566,Hickory ,Oakdale,89584,2001,1,75.04,109.55,0.00,27.12,42.03,229.63,2002,1
n stbaroughtablepriought,eing,49843,227,Davis Sycamore,Hopewell,70587,162,West ,Arlington,36557,2001,1,13.74,26.93,0.00,16.51,24.93,0.00,2002,1
n stbaroughtablepriought,eing,49843,227,Davis Sycamore,Hopewell,70587,162,West ,Arlington,36557,2001,1,13.74,26.93,0.00,62.57,71.95,0.00,2002,1
n stbaroughtablepriought,eing,48370,null,8th ,null,null,437,Walnut Maple,Riverview,49003,2001,1,63.91,125.90,240.97,31.85,43.31,0.00,2002,1
n stbaroughtablepriought,ese,26098,704,West Hillcrest,Sulphur Springs,48354,385,Washington ,Walnut Grove,27752,2001,1,22.66,24.47,0.00,44.38,72.78,0.00,2002,1
n stbaroughtablepriought,ese,35281,463,Lincoln ,Sunnyside,31952,856,4th Spruce,Concord,54107,2001,1,61.72,106.77,0.00,60.34,104.99,0.00,2002,1
n stbaroughtablepriought,ese,35281,463,Lincoln ,Sunnyside,31952,856,4th Spruce,Concord,54107,2001,1,61.72,106.77,0.00,90.28,124.58,0.00,2002,1
n stbaroughtablepriought,n st,29843,299,Locust Fourth,Oak Ridge,88371,326,null,Brownsville,null,2001,1,60.50,85.91,0.00,11.85,18.84,277.05,2002,1
n stbaroughtablepriought,pri,52477,null,null,Mount Zion,28054,304,Center ,New Hope,39431,2001,1,64.10,105.12,0.00,62.04,96.16,0.00,2002,1
n stbarprin stpriought,able,45709,743,10th Church,Antioch,09205,398,1st Hillcrest,Summit,40499,2001,1,29.43,33.84,0.00,9.48,10.71,0.00,2002,1
n stbarprin stpriought,bar,53451,764,Main Spruce,Mount Zion,28054,null,null,Providence,76614,2001,1,28.59,30.87,0.00,35.00,42.70,498.29,2002,1
n stbarprin stpriought,ese,38828,28,Mill Cedar,Greenfield,25038,71,14th College,Providence,07214,2001,1,10.51,12.29,0.00,43.24,54.48,0.00,2002,1
n stbarprin stpriought,ese,29231,null,null,Sulphur Springs,null,13,7th ,Oak Ridge,58371,2001,1,36.10,53.06,0.00,95.11,188.31,0.00,2002,1
n stbarprin stpriought,ese,53604,528,Lincoln Hill,Riverside,69231,null,null,null,null,2001,1,37.89,58.35,0.00,63.37,105.82,0.00,2002,1
n stbarprin stpriought,ought,33604,441,Valley East,Bethel,55281,135,Seventh Lake,Bridgeport,25817,2001,1,86.86,106.83,2501.72,66.73,93.42,0.00,2002,1
n steingpriprioughtought,able,49843,527,5th Washington,Franklin,69101,841,Washington ,Sulphur Springs,28354,2001,1,28.36,35.16,622.68,69.57,133.57,0.00,2002,1
n steingpriprioughtought,anti,35281,272,Oak ,Greenfield,35038,621,Green Third,Deerfield,49840,2001,1,5.96,9.95,0.00,63.18,95.40,0.00,2002,1
n steingpriprioughtought,ation,40059,973,Main Park,Clinton,88222,80,Park ,New Hope,59431,2001,1,22.16,22.38,0.00,41.16,58.44,0.00,2002,1
n steingpriprioughtought,ation,40059,45,Wilson ,Newport,51521,577,2nd ,Mountain View,74466,2001,1,82.32,95.49,0.00,41.16,58.44,0.00,2002,1
n steingpriprioughtought,cally,34136,400,Eigth Poplar,Mountain View,84466,520,Second ,White Oak,56668,2001,1,59.74,96.18,0.00,12.70,22.86,0.00,2002,1
n steingpriprioughtought,cally,34136,400,Eigth Poplar,Mountain View,84466,520,Second ,White Oak,56668,2001,1,59.74,96.18,0.00,17.74,29.27,252.72,2002,1
n steingpriprioughtought,cally,20059,701,Green Hillcrest,Sulphur Springs,48354,null,null,Forest Hills,69237,2001,1,80.85,97.02,3593.70,2.51,2.83,0.00,2002,1
n steingpriprioughtought,eing,38721,222,Valley ,Lincoln,41289,150,Cedar Washington,Wilson,96971,2001,1,25.66,49.78,0.00,20.03,32.24,0.00,2002,1
