ca_county,d_year,web_q1_q2_increase,store_q1_q2_increase,web_q2_q3_increase,store_q2_q3_increase
Colfax County,1998,0.99,0.97,2.00,1.87
Luce County,1998,1.27,1.00,1.83,1.68
Penobscot County,1998,1.14,1.03,1.99,1.89
Craig County,1998,1.23,0.90,1.82,1.81
Brule County,1998,1.36,1.18,1.85,1.56
Tooele County,1998,1.25,0.97,1.64,1.58
Minidoka County,1998,1.16,0.84,2.04,2.01
Leflore County,1998,1.45,1.10,1.84,1.66
Duplin County,1998,1.33,0.91,1.80,1.65
Pike County,1998,1.02,1.01,1.94,1.83
Seneca County,1998,1.44,0.95,1.87,1.83
Gray County,1998,1.06,1.00,2.14,1.89
Wharton County,1998,1.19,0.99,1.99,1.68
Henry County,1998,0.99,0.97,1.91,1.87
Lapeer County,1998,1.12,1.04,1.79,1.72
Lumpkin County,1998,1.49,1.12,1.76,1.73
Dona Ana County,1998,1.10,1.01,1.87,1.70
Keweenaw County,1998,1.16,1.14,2.02,1.70
Scotland County,1998,1.41,1.11,2.13,1.82
Yuba County,1998,1.12,1.02,2.06,1.88
Rensselaer County,1998,0.89,0.84,2.59,2.16
San Miguel County,1998,1.17,0.94,2.13,1.91
Waseca County,1998,1.17,1.09,1.84,1.72
Beltrami County,1998,1.14,0.94,1.97,1.87
Crosby County,1998,1.11,0.94,2.02,1.93
Big Horn County,1998,1.38,0.94,1.79,1.75
Tripp County,1998,1.03,0.90,2.22,1.94
Northwest Arctic Borough,1998,0.90,0.88,2.04,1.88
Laclede County,1998,1.13,0.98,1.94,1.93
Barnwell County,1998,0.85,0.84,2.03,1.99
Redwood County,1998,1.17,1.05,2.03,1.79
Kankakee County,1998,2.09,1.10,1.56,1.50
Clare County,1998,1.05,0.88,1.84,1.76
Casey County,1998,0.93,0.92,2.07,1.80
Bryan County,1998,1.23,1.00,1.82,1.81
Cottonwood County,1998,1.23,1.04,1.97,1.80
Jay County,1998,1.08,1.00,2.05,1.76
Jackson Parish,1998,1.20,1.08,2.05,1.71
Sherman County,1998,1.08,0.98,1.95,1.94
Acadia Parish,1998,1.01,0.95,1.85,1.80
Shawano County,1998,1.12,1.11,1.98,1.59
Sharkey County,1998,1.04,0.93,2.40,2.02
Atkinson County,1998,1.13,0.97,1.99,1.78
Clifton Forge city,1998,1.23,0.86,2.67,2.08
Caddo Parish,1998,1.16,1.08,1.74,1.73
Bee County,1998,1.17,0.98,2.25,1.77
Unicoi County,1998,1.26,1.21,2.03,1.83
Burleigh County,1998,0.87,0.86,2.26,1.96
Yukon-Koyukuk Census Area,1998,1.11,1.07,1.91,1.89
Colbert County,1998,1.09,1.05,1.78,1.76
West Feliciana Parish,1998,0.87,0.84,2.28,1.89
Navajo County,1998,1.12,1.00,2.07,1.61
Panola County,1998,1.21,1.19,2.12,1.74
Bandera County,1998,1.26,1.02,2.48,2.18
Troup County,1998,0.89,0.81,2.05,1.93
Chouteau County,1998,1.88,1.10,2.14,1.89
Klamath County,1998,1.03,0.98,1.98,1.69
Anne Arundel County,1998,1.10,0.86,2.10,1.92
Anson County,1998,0.91,0.90,2.30,2.02
Huerfano County,1998,1.29,1.08,1.76,1.60
Churchill County,1998,1.24,1.01,1.85,1.74
Saguache County,1998,1.20,0.98,1.77,1.71
Pendleton County,1998,1.13,0.96,2.18,1.77
Barry County,1998,0.99,0.96,1.85,1.74
Laurens County,1998,1.00,0.98,2.13,1.78
Ouachita Parish,1998,0.96,0.90,2.88,1.88
Harnett County,1998,1.09,0.99,1.93,1.79
Wallowa County,1998,1.07,0.91,2.18,2.09
Pearl River County,1998,1.10,0.94,1.95,1.88
Hot Springs County,1998,1.18,1.07,1.79,1.76
Kershaw County,1998,1.06,0.97,2.05,2.00
Madera County,1998,1.23,1.13,1.81,1.57
Covington city,1998,1.10,1.09,1.89,1.56
Ionia County,1998,0.97,0.88,2.22,2.15
Houston County,1998,1.11,1.08,1.79,1.72
Salt Lake County,1998,1.17,0.98,1.75,1.72
Loudoun County,1998,1.23,0.99,1.71,1.64
Spink County,1998,1.46,1.07,2.20,1.85
Woodson County,1998,1.12,1.08,2.46,1.85
Brantley County,1998,1.11,1.01,2.17,1.82
Lehigh County,1998,1.55,1.21,1.84,1.81
Yakutat Borough,1998,1.04,0.91,2.22,2.17
Highland County,1998,1.25,1.14,1.82,1.67
Hampton County,1998,1.42,1.08,2.07,1.64
Cheshire County,1998,1.22,1.12,1.98,1.80
Blanco County,1998,1.13,1.08,2.03,1.69
District of Columbia,1998,1.23,1.08,1.99,1.86
Ringgold County,1998,1.11,0.89,2.15,1.77
Baylor County,1998,1.30,1.10,1.94,1.52
Gasconade County,1998,1.06,0.86,2.19,2.04
Benson County,1998,1.03,0.99,2.04,1.75
Haskell County,1998,1.09,1.05,1.84,1.74
Barron County,1998,1.10,1.05,1.93,1.85
Boundary County,1998,1.16,1.06,2.02,1.93
Hughes County,1998,0.98,0.92,2.06,1.98
Chesapeake city,1998,1.35,1.05,1.91,1.86
Sauk County,1998,1.06,0.98,2.17,2.07
San Augustine County,1998,1.19,1.15,1.96,1.70
Rusk County,1998,1.06,0.97,1.88,1.77
Frederick County,1998,1.07,0.94,1.85,1.82
Bedford County,1998,1.12,1.07,1.80,1.72
Dundy County,1998,1.01,0.90,2.15,1.88
Columbiana County,1998,1.23,1.04,1.84,1.57
Waldo County,1998,1.24,1.08,2.00,1.61
Kern County,1998,1.33,0.98,1.86,1.78
Brooks County,1998,1.12,1.08,1.93,1.81
Chenango County,1998,1.06,1.05,2.40,1.72
Sedgwick County,1998,1.18,1.03,2.31,1.86
Kearny County,1998,1.03,0.95,2.14,1.86
Walthall County,1998,1.24,0.89,2.16,1.93
Gentry County,1998,1.12,1.04,2.10,1.95
Paulding County,1998,0.99,0.95,2.22,2.00
Anchorage Borough,1998,1.24,1.15,1.57,1.42
Calhoun County,1998,1.13,0.99,1.89,1.84
Frontier County,1998,1.22,1.02,1.88,1.85
Stephenson County,1998,1.27,1.15,1.92,1.91
Brooke County,1998,1.26,1.03,2.39,2.02
Siskiyou County,1998,1.31,1.11,2.13,2.09
Colleton County,1998,0.95,0.90,1.80,1.78
Duval County,1998,0.95,0.93,2.12,2.05
Josephine County,1998,1.19,0.92,1.93,1.81
Brevard County,1998,1.41,1.19,1.85,1.70
Staunton city,1998,1.13,1.05,1.93,1.71
Hood River County,1998,0.97,0.95,2.14,1.88
Sheboygan County,1998,1.20,1.11,1.81,1.80
Tattnall County,1998,1.06,0.79,1.93,1.84
Fall River County,1998,0.98,0.96,1.90,1.80
Juab County,1998,1.28,1.06,1.83,1.80
Ontario County,1998,1.09,0.89,1.91,1.67
Edmonson County,1998,1.36,0.96,1.83,1.75
